quiz notes
<script>                                     | to put the javascript
document.getElementById("demo").innerHTML = "Hello World!";  | <p id="demo"
Both the <head> section and the <body> section are correct     | correct place to put javascript
<script src="xxx.js">            | syntax for exteranl script
<script>                                     | external javascript
alert("Hello World");         | syntax for alert box
function myFunction()       | syntax for calling function
if (i == 5)                          | syntax for a if statement
if (i != 5)                           | if "i" statement is not equal to 5
while (i <= 10)              |syntax for WHILE loop
for (i = 0; i <= 5; i++)    | syntax for loop start
var colors = ["red", "green", "blue"]            |javascript array
Math.max(x, y)                                                       |for highest value of x and y
w2 = window.open("http://www.w3schools.com");   | for opening a new window
navigator.appName
